,Google,Amazon,Microsoft,Alibaba,Salesforce,Dell,IBM,Digital_Ocean,Oracle
Cost_benefit,0.7106156,0.803187664,0.458612224,0.172770914,0.307690812,0.046721314,0.165189904,0.855281069,0.687635069
Efficiency,0.907792967,0.05802187,0.76066677,0.558332851,0.587203692,0.087311032,0.829592834,0.866062882,0.998582895
Ease_of_use,0.796643859,0.862608498,0.956262479,0.75826692,0.928846801,0.393494415,0.671232631,0.26376782,0.265483994
Customization,0.231400318,0.487698483,0.034158382,0.762684091,0.207243329,0.596974184,0.694307406,0.144568945,0.130924306
Commitment,0.004558112,0.645558924,0.445243353,0.133866401,0.691025617,0.351707882,0.908092965,0.767078917,0.251766213
Tech_infra,0.537929459,0.915300285,0.594742782,0.139884617,0.324876985,0.745057386,0.249876206,0.709492276,0.652549349
Relative_pos,0.208590192,0.158579821,0.62769655,0.15506228,0.643634177,0.510468769,0.519027781,0.988429685,0.804351187
Law_policy,0.57654057,0.762933457,0.718774094,0.609063727,0.534291944,0.635604287,0.402440913,0.154420347,0.961024947
Availability,0.889219085,0.684065695,0.477498324,0.334518202,0.814452834,0.441556265,0.429176512,0.788200857,0.881223094
Support,0.742370623,0.646120408,0.344174966,0.524456599,0.342262304,0.158893706,0.773062282,0.379500081,0.066683533
